date,t2m
2025-02-02,27.11301
2025-02-03,27.920174
2025-02-04,27.812286
2025-02-05,27.556438
2025-02-06,27.070202
2025-02-07,27.667747
2025-02-08,27.850006
2025-02-09,28.282442
