date,tp
03/03/2020,0.33681092
04/03/2020,0.97095424
05/03/2020,0.1391874
06/03/2020,0.26329452
07/03/2020,0.49125698
08/03/2020,0.2853005
09/03/2020,0.31505632
10/03/2020,0.17239338
11/03/2020,0.36738542
12/03/2020,0.09548311
13/03/2020,0.1953079
14/03/2020,0.72956526
15/03/2020,0.2711154
16/03/2020,0.6604202
17/03/2020,0.1868287
18/03/2020,0.5110229
19/03/2020,0.4584125
20/03/2020,0.3602501
21/03/2020,0.15569505
22/03/2020,0.19215207
23/03/2020,0.4962571
24/03/2020,0.44505855
25/03/2020,0.26553184
26/03/2020,0.0500733
27/03/2020,0.08397736
28/03/2020,0.18706118
29/03/2020,0.21374498
30/03/2020,0.6180911
31/03/2020,0.63401085
01/04/2020,0.13597168
02/04/2020,0.34160537
03/04/2020,0.29655525
04/04/2020,0.35495865
05/04/2020,0.5859997
06/04/2020,0.85713196
07/04/2020,0.46956417
08/04/2020,0.8537442
09/04/2020,0.40257215
10/04/2020,0.10597033
11/04/2020,0.49192005
12/04/2020,0.228521
13/04/2020,0.435219
14/04/2020,0.44329372
15/04/2020,0.24263994
16/04/2020,0.47761467
17/04/2020,0.3196793
18/04/2020,0.36427653
19/04/2020,0.0895181
20/04/2020,0.3031423
21/04/2020,0.10690544
22/04/2020,0.24420033
23/04/2020,0.053417657
24/04/2020,0.005907489
25/04/2020,0.056067977
26/04/2020,0.18058135
27/04/2020,0.03201036
28/04/2020,0.19303666
29/04/2020,0.3603545
30/04/2020,0.03318906
01/05/2020,0.21939284
02/05/2020,0.05871059
03/05/2020,0.042339325
04/05/2020,0.09086142
05/05/2020,0.042610627
06/05/2020,0.004706101
07/05/2020,0.004834623
08/05/2020,0.14687532
09/05/2020,0.87282
10/05/2020,0.04512069
11/05/2020,0.1601045
12/05/2020,0.016576903
13/05/2020,0.005266426
14/05/2020,0.002071592
15/05/2020,0.000671544
16/05/2020,0.006365764
17/05/2020,0.04795803
18/05/2020,0.7012141
19/05/2020,0.24290456
20/05/2020,0.52057964
21/05/2020,0.2930795
22/05/2020,0.0816736
23/05/2020,0.03799455
24/05/2020,0.0724713
25/05/2020,0.16827357
26/05/2020,0.22575906
27/05/2020,0.49901024
28/05/2020,1.4092503
29/05/2020,0.11085239
30/05/2020,0.15478154
31/05/2020,0.39298788
01/06/2020,0.18993375
02/06/2020,0.06521305
03/06/2020,0.00629689
04/06/2020,0.004683591
05/06/2020,0.001731193
06/06/2020,0.061004937
07/06/2020,0.059066772
08/06/2020,0.03610309
09/06/2020,0.00889566
10/06/2020,0.002082189
11/06/2020,0.008082404
12/06/2020,0.000238419
13/06/2020,0.066915736
14/06/2020,0.24498664
15/06/2020,0.09379505
16/06/2020,0.013200452
17/06/2020,0.006797581
18/06/2020,0.015327735
19/06/2020,0.010406957
20/06/2020,0.000705986
21/06/2020,0.031520244
22/06/2020,0.010699656
23/06/2020,0.001707345
24/06/2020,0.016691973
25/06/2020,0.014351376
26/06/2020,0.000792079
27/06/2020,0.000642406
28/06/2020,0.011244132
29/06/2020,0.014942229
30/06/2020,0.000120534
01/07/2020,0.012041468
02/07/2020,0.01772384
03/07/2020,0.002151077
04/07/2020,0.005095536
05/07/2020,0.06164697
06/07/2020,0.26564747
