date,mean_surface_pressure_hPa
03/03/2020,1006.6663
04/03/2020,1006.6843
05/03/2020,1006.7755
06/03/2020,1008.14075
07/03/2020,1008.41675
08/03/2020,1006.75366
09/03/2020,1006.0036
10/03/2020,1005.9986
11/03/2020,1007.037
12/03/2020,1009.012
13/03/2020,1009.1211
14/03/2020,1007.9643
15/03/2020,1007.5081
16/03/2020,1008.44086
17/03/2020,1008.357
18/03/2020,1008.05774
19/03/2020,1008.5388
20/03/2020,1008.7716
21/03/2020,1008.8355
22/03/2020,1008.2767
23/03/2020,1007.5876
24/03/2020,1006.8394
25/03/2020,1006.1331
26/03/2020,1006.27026
27/03/2020,1006.9667
28/03/2020,1006.50653
29/03/2020,1006.4361
30/03/2020,1006.7211
31/03/2020,1007.11707
01/04/2020,1006.9886
02/04/2020,1006.9616
03/04/2020,1007.22363
04/04/2020,1007.823
05/04/2020,1007.8828
06/04/2020,1007.66864
07/04/2020,1007.38434
08/04/2020,1008.6952
09/04/2020,1008.69556
10/04/2020,1008.429
11/04/2020,1008.11957
12/04/2020,1007.36804
13/04/2020,1007.6106
14/04/2020,1008.17816
15/04/2020,1008.2298
16/04/2020,1007.6084
17/04/2020,1008.12476
18/04/2020,1008.40344
19/04/2020,1008.3122
20/04/2020,1007.4837
21/04/2020,1007.2206
22/04/2020,1007.1705
23/04/2020,1006.6102
24/04/2020,1006.86633
25/04/2020,1007.4386
26/04/2020,1007.47437
27/04/2020,1007.6642
28/04/2020,1007.7997
29/04/2020,1007.7333
30/04/2020,1007.718
01/05/2020,1006.51855
02/05/2020,1006.4001
03/05/2020,1007.3623
04/05/2020,1007.62555
05/05/2020,1007.3074
06/05/2020,1007.1683
07/05/2020,1006.684
08/05/2020,1006.566
09/05/2020,1008.0308
10/05/2020,1007.3001
11/05/2020,1007.5618
12/05/2020,1007.4568
13/05/2020,1007.23816
14/05/2020,1006.4802
15/05/2020,1005.55804
16/05/2020,1004.3754
17/05/2020,1004.6417
18/05/2020,1006.0166
19/05/2020,1006.1599
20/05/2020,1006.4196
21/05/2020,1007.46106
22/05/2020,1007.54895
23/05/2020,1007.86316
24/05/2020,1008.60754
25/05/2020,1009.21625
26/05/2020,1008.83856
27/05/2020,1009.1927
28/05/2020,1009.75867
29/05/2020,1009.53235
30/05/2020,1009.1184
31/05/2020,1009.9693
01/06/2020,1009.1276
02/06/2020,1008.86273
03/06/2020,1009.0208
04/06/2020,1008.3506
05/06/2020,1008.26117
06/06/2020,1008.19727
07/06/2020,1007.07684
08/06/2020,1007.9856
09/06/2020,1008.6264
10/06/2020,1007.796
11/06/2020,1006.9362
12/06/2020,1006.2932
13/06/2020,1007.2871
14/06/2020,1008.3788
15/06/2020,1008.1033
16/06/2020,1007.62085
17/06/2020,1007.9795
18/06/2020,1007.9949
19/06/2020,1008.51294
20/06/2020,1007.416
21/06/2020,1006.40265
22/06/2020,1006.98035
23/06/2020,1007.596
24/06/2020,1007.662
25/06/2020,1007.1516
26/06/2020,1007.72626
27/06/2020,1008.6643
28/06/2020,1008.7182
29/06/2020,1007.9149
30/06/2020,1007.59155
01/07/2020,1007.1822
02/07/2020,1007.7172
03/07/2020,1008.5036
04/07/2020,1008.24274
05/07/2020,1007.49286
06/07/2020,1008.1031
07/07/2020,1007.54364
08/07/2020,1006.5774
09/07/2020,1006.4759
10/07/2020,1007.6747
11/07/2020,1007.57935
12/07/2020,1007.18164
13/07/2020,1006.9195
14/07/2020,1007.2472
15/07/2020,1007.3684
16/07/2020,1006.6233
17/07/2020,1006.7027
18/07/2020,1006.9015
19/07/2020,1006.72253
20/07/2020,1006.5812
21/07/2020,1006.9886
22/07/2020,1006.76465
23/07/2020,1006.92773
24/07/2020,1007.5865
25/07/2020,1008.2765
26/07/2020,1007.84906
27/07/2020,1007.3888
28/07/2020,1007.3404
29/07/2020,1007.7395
30/07/2020,1008.30817
31/07/2020,1007.90985
01/08/2020,1007.5095
02/08/2020,1007.3753
03/08/2020,1006.7239
04/08/2020,1006.541
05/08/2020,1007.2362
06/08/2020,1006.99677
07/08/2020,1007.4827
08/08/2020,1007.1477
09/08/2020,1007.9989
10/08/2020,1008.7411
11/08/2020,1009.7648
12/08/2020,1009.2589
13/08/2020,1007.9591
14/08/2020,1007.56055
15/08/2020,1008.1935
16/08/2020,1008.0141
17/08/2020,1007.2796
18/08/2020,1006.8852
19/08/2020,1006.82465
20/08/2020,1008.1458
21/08/2020,1009.2246
22/08/2020,1009.5215
23/08/2020,1008.3763
24/08/2020,1009.02765
25/08/2020,1009.161
